Sport,Name,sport_name,Time,TSS,Swim_ind,Bike_ind,Run_ind,Recovery_ind,Elite_ind,Prep_ind,Base 1_ind,Base 2_ind,Base 3_ind,Build 1_ind,Build 2_ind,Peak_ind,E_ind,S_ind,M_Ind,P_ind,F_ind,A_ind
Bike,A2.1,BikeA2,45,62,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Bike,A2.2,BikeA2,49.5,70,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Bike,A2.3,BikeA2,51,73,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Bike,A2.4,BikeA2,57,84,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Bike,A2.5,BikeA2,57,84,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Bike,A2.6,BikeA2,63,95,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Bike,A2.7,BikeA2,67,100,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Bike,A3.1,BikeA3,60,64,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Bike,A4.1,BikeA4,47,47,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Bike,A4.2,BikeA4,44,46,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Bike,A4.3,BikeA4,55,59,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Bike,A4.4,BikeA4,53,56,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Bike,A4.5,BikeA4,58,66,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Bike,E1.1,BikeE1,35,16,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E1.2,BikeE1,45,21,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E1.3,BikeE1,60,28,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.1a,BikeE2,60,42,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.1b,BikeE2,90,63,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.1c,BikeE2,120,84,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.1d,BikeE2,70,49,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.1e,BikeE2,135,92,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.2,BikeE2,150,99,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E3.1,BikeE3,60,47,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.2,BikeE3,64,51,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.3,BikeE3,75,60,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.3a,BikeE3,62,53,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.4,BikeE3,70,57,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.5,BikeE3,80,68,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.6,BikeE3,60,40,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.7,BikeE3,65,46,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.8,BikeE3,70,52,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.9,BikeE3,75,56,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.9a,BikeE3,85,67,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.9b,BikeE3,60,46,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.10,BikeE3,80,61,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.11,BikeE3,90,76,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.12,BikeE3,105,91,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,F1.1,BikeF1,66,49,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Bike,F1.2,BikeF1,71,53,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Bike,F1.3,BikeF1,76,57,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Bike,F1.3a,BikeF1,48,36,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Bike,F1.4,BikeF1,62,46,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Bike,F1.4a,BikeF1,64,53,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Bike,F1.4b,BikeF1,46,40,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Bike,F1.5,BikeF1,66,50,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Bike,F1.5a,BikeF1,69,57,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Bike,F1.5b,BikeF1,73,61,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Bike,F1.6,BikeF1,66,51,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Bike,M1.1,BikeM1,67,59,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Bike,M1.1a,BikeM1,45,38,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Bike,M1.1b,BikeM1,27,22,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Bike,M2.1,BikeM2,63,60,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
Bike,M2.2,BikeM2,64,64,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
Bike,M2.3,BikeM2,48,47,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
Bike,M2.4,BikeM2,66,72,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
Bike,M2.5,BikeM2,68,75,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
Bike,M4.1,BikeM4,60,84,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Bike,M4.2,BikeM4,45,58,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Bike,M4.3,BikeM4,45,61,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
